165,4020,1000,4400
75,2510,160,4020
215,2860,525,3435
525,2995,975,3435
975,3315,1445,3315
445,3620,2155,3650
1295,4025,2110,4400
2110,2500,2125,4050
2085,3320,1890,3345
1870,2515,2105,2610
425,2510,1625,2610
165,2856,225,3436
1895,3316,2105,3346
977,2996,1461,3313
2010,2208,2052,2508
1888,1421,2010,2225
1972,597,2002,1417
1133,465,1963,635
1017,429,1133,465
681,429,807,461
370,366,663,636
693,1960,1457,2094
149,2084,689,2127
77,2136,124,2500
588,1151,728,1451
666,1429,962,1725
970,1430,1716,1513
581,820,745,1104
221,641,359,747
156,747,221,1097
755,369,1055,419
0,1106,1616,1141
295,1726,1448,1755
244,1726,295,2076

